lead_id,date,channel,campaign,visitors,leads,mqls,sqls,opportunities,customers,lead_gen_cost,revenue
L001,2024-01-05,Organic Search,SEO Blog,1200,180,90,54,32,18,500,5400
L002,2024-01-08,Paid Search,Google Ads Q1,950,142,71,43,25,12,1200,3600
L003,2024-01-12,Social Media,Instagram Campaign,800,96,38,19,10,4,800,1200
L004,2024-01-15,Email,Newsletter Jan,600,120,72,50,35,22,200,6600
L005,2024-01-19,Referral,Partner A,400,80,52,36,24,16,300,4800
L006,2024-01-22,Organic Search,SEO Blog,1100,165,83,50,29,15,500,4500
L007,2024-01-26,Paid Search,Google Ads Q1,880,132,66,40,22,10,1100,3000
L008,2024-01-29,Social Media,Facebook Ads,750,90,36,18,9,3,900,900
L009,2024-02-02,Email,Newsletter Feb,620,124,74,52,36,24,200,7200
L010,2024-02-05,Referral,Partner B,350,70,45,31,20,13,280,3900
L011,2024-02-09,Organic Search,SEO Blog,1300,195,98,59,34,19,500,5700
L012,2024-02-12,Paid Search,Google Ads Q1,1000,150,75,45,26,13,1300,3900
L013,2024-02-16,Social Media,Instagram Campaign,820,98,39,20,10,4,850,1200
L014,2024-02-19,Email,Newsletter Feb,580,116,70,49,34,21,200,6300
L015,2024-02-23,Referral,Partner A,420,84,55,38,25,17,300,5100
L016,2024-02-26,Organic Search,SEO Video,900,135,68,41,24,13,450,3900
L017,2024-03-01,Paid Search,Google Ads Q1,1050,158,79,47,27,14,1400,4200
L018,2024-03-05,Social Media,LinkedIn Ads,500,75,45,27,15,7,700,2100
L019,2024-03-08,Email,Newsletter Mar,650,130,78,55,38,26,200,7800
L020,2024-03-12,Referral,Partner B,380,76,49,34,22,15,280,4500
L021,2024-03-15,Organic Search,SEO Blog,1400,210,105,63,37,21,500,6300
L022,2024-03-19,Paid Search,Google Ads Q2,980,147,74,44,25,12,1250,3600
L023,2024-03-22,Social Media,Instagram Campaign,860,103,41,21,11,4,880,1200
L024,2024-03-26,Email,Newsletter Mar,600,120,72,50,35,23,200,6900
L025,2024-03-29,Referral,Partner A,440,88,57,40,26,18,300,5400
L026,2024-04-02,Organic Search,SEO Blog,1250,188,94,56,33,18,500,5400
L027,2024-04-05,Paid Search,Google Ads Q2,920,138,69,41,24,11,1200,3300
L028,2024-04-09,Social Media,Facebook Ads,780,94,38,19,10,3,920,900
L029,2024-04-12,Email,Newsletter Apr,630,126,76,53,37,25,200,7500
L030,2024-04-16,Referral,Partner C,300,60,39,27,18,12,250,3600
L031,2024-04-19,Organic Search,SEO Video,950,143,72,43,25,14,450,4200
L032,2024-04-23,Paid Search,Google Ads Q2,1020,153,77,46,27,13,1300,3900
L033,2024-04-26,Social Media,LinkedIn Ads,520,78,47,28,16,7,720,2100
L034,2024-04-30,Email,Newsletter Apr,610,122,73,51,36,24,200,7200
L035,2024-05-03,Referral,Partner A,460,92,60,42,27,19,300,5700
L036,2024-05-07,Organic Search,SEO Blog,1350,203,101,61,36,20,500,6000
L037,2024-05-10,Paid Search,Google Ads Q2,960,144,72,43,25,12,1200,3600
L038,2024-05-14,Social Media,Instagram Campaign,840,101,40,20,11,4,860,1200
L039,2024-05-17,Email,Newsletter May,640,128,77,54,38,26,200,7800
L040,2024-05-21,Referral,Partner B,400,80,52,36,24,16,280,4800
L041,2024-05-24,Organic Search,SEO Blog,1150,173,86,52,30,17,500,5100
L042,2024-05-28,Paid Search,Google Ads Q2,900,135,68,41,23,11,1150,3300
L043,2024-05-31,Social Media,Facebook Ads,760,91,36,18,9,3,900,900
L044,2024-06-04,Email,Newsletter Jun,620,124,74,52,36,25,200,7500
L045,2024-06-07,Referral,Partner C,320,64,42,29,19,13,250,3900
L046,2024-06-11,Organic Search,SEO Video,980,147,74,44,26,14,450,4200
L047,2024-06-14,Paid Search,Google Ads Q2,1040,156,78,47,27,13,1300,3900
L048,2024-06-18,Social Media,LinkedIn Ads,540,81,49,29,16,7,730,2100
L049,2024-06-21,Email,Newsletter Jun,630,126,76,53,37,25,200,7500
L050,2024-06-25,Referral,Partner A,480,96,62,43,28,20,300,6000
